Name,Latitude,Longitude,College Readiness Index,Graduation Rate
Memorial High,43.064065,-89.50089,37.1,89
West High,43.06913,-89.425793,34.4,93
East High,43.097832,-89.354269,29.2,81
Lafollette High,43.063303,-89.319177,21.6,84
Middleton High,43.100286,-89.507037,55.3,93
