OBJECTID,Accela_ID,Park_ID,Type,Mstn_level,Acreage,Park_Name,Polygon_count,SHAPESTArea,SHAPESTLength
5716,Felland Park,690A,NEIGHBORHOOD,CityPark_Neighborhood,13.52000046,Felland Park,1,588888.01864624,3680.11306492309
5717,Goodman Park,121A,COMMUNITY,CityPark_Community,29.11000061,Goodman Park,1,1268036.94003296,7629.58612087616
5718,Yahara Place Park,112N,NEIGHBORHOOD,CityPark_Neighborhood,6.07999992,Yahara Place Park,1,264814.254302979,4619.70603912404
5719,Rennebohm Park,317A,NEIGHBORHOOD,CityPark_Neighborhood,20.12000084,Rennebohm Park,1,876442.136535645,5322.10130004279
5720,North Star Park,524A,NEIGHBORHOOD,CityPark_Neighborhood,23.60000038,North Star Park,1,1027520.83685303,4472.34374101082
5721,Baxter Park,347A,NEIGHBORHOOD,CityPark_Neighborhood,9.84000015,Baxter Park,1,428479.775512695,2722.63098080333
5722,Greenside Park,879A,MINI,CityPark_Mini,2.50999999,Greenside Park,1,109184.356109619,1347.27733831142
5723,Kingston - Onyx Park,414N,NEIGHBORHOOD,CityPark_Neighborhood,4.73000002,Kingston - Onyx Park,1,206104.211914062,1888.74214645061
5724,Honeysuckle Park,408N,MINI,CityPark_Mini,3.78999996,Honeysuckle Park,1,164953.492095947,2476.84517543477
5725,Hillpoint Park,785N,MINI,CityPark_Mini,2.25,Hillpoint Park,1,97920.9136047363,1258.97697913457
5726,Westchester Gardens Park,598N,NEIGHBORHOOD,CityPark_Neighborhood,7.07999992,Westchester Gardens Park,1,308460.515319824,2534.55039088523
5727,Paunack (A.O.) Park,241N,NEIGHBORHOOD,CityPark_Neighborhood,5.42999983,Paunack (A.O.) Park,1,236645.08404541,4182.50838386107
5728,Sunset Park,383N,MINI,CityPark_Mini,1.5,Sunset Park,1,65525.4344177246,2201.15844092265
5729,Carpenter - Ridgeway Park,332N,NEIGHBORHOOD,CityPark_Neighborhood,3.95000005,Carpenter - Ridgeway Park,1,172019.340057373,1887.64066727731
5730,Waite Circle Open Space,301P,OPEN SPACE,CityPark_OpenSpace,0.20999999,Waite Circle Open Space,1,9202.96325683594,480.225857084695
5731,Acewood Conservation Park,328E,CONSERVATION,CityPark_Conservation,38.16999817,Acewood Conservation Park,1,1662753.33093262,6678.4321961755
5732,Yahara Parkway,106P,OPEN SPACE,CityPark_OpenSpace,7.65999985,Yahara River Parkway,1,333593.558197021,13219.1248141177
5733,Paunack (A.O.) Marsh,241E,CONSERVATION,CityPark_Conservation,5.28000021,Paunack (A.O.) Marsh,1,229917.956512451,2091.61787099358
5734,Orchard Ridge Park,467N,MINI,CityPark_Mini,2.68000007,Orchard Ridge Park,1,116839.200958252,2083.76569241509
5735,Secret Places Park,636A,NEIGHBORHOOD,CityPark_Neighborhood,6.73000002,Secret Places Park,1,292994.572143555,3033.80803662764
5736,Mineral Point Park,557P,OPEN SPACE,CityPark_OpenSpace,9.85000038,Mineral Point Park,1,429181.076873779,3011.77853670086
5737,Lucia Crest Park,373N,NEIGHBORHOOD,CityPark_Neighborhood,4.13999987,Lucia Crest Park,1,180251.900085449,2473.09836424905
5738,Whitetail Ridge Park,494A,NEIGHBORHOOD,CityPark_Neighborhood,9.55000019,Whitetail Ridge Park,1,415888.846496582,2860.74109332506
5739,Paterson St (North) Street End,028T,TRAFFICWAY,CityPark_Trafficway,0.08,Paterson Street (North) Street End,1,3549.67810058594,239.046579380459
5740,Northland Manor Park,584A,NEIGHBORHOOD,CityPark_Neighborhood,10.30000019,Northland Manor Park,1,448708.931915283,2853.72481482517
5741,High Point Park,685A,NEIGHBORHOOD,CityPark_Neighborhood,19.46999931,High Point Park,1,848185.026611328,4077.15308624839
5742,Owl Creek Park,572P,MINI,CityPark_Mini,3.92000008,Owl Creek Park,1,170996.34777832,2641.47840620805
5743,Arbor Hills Park,363N,NEIGHBORHOOD,CityPark_Neighborhood,7.9000001,Arbor Hills Park,1,344116.844970703,2968.56976320761
5744,Huegel Park,589A,NEIGHBORHOOD,CityPark_Neighborhood,12.97999954,Huegel Park,1,565313.431732178,4293.65933314877
5745,Glacier Hill Park,504A,NEIGHBORHOOD,CityPark_Neighborhood,15.5,Glacier Hill Park,1,675151.231536865,3934.08150606585
5746,Vilas (Henry) Park,113C,COMMUNITY,CityPark_Community,45.66999817,Vilas (Henry) Park,1,1989478.41143799,16425.1625768493
5747,Thousand Oaks Park,881P,NEIGHBORHOOD,CityPark_Neighborhood,15.01000023,Thousand Oaks Park,1,653843.626678467,5241.14102533254
5748,Livingston St (So) Street End,016T,TRAFFICWAY,CityPark_Trafficway,0.12,Livingston Street (South) Street End,1,5311.6178894043,357.670023578567
5749,Owen Conservation Park,549E,CONSERVATION,CityPark_Conservation,96.79000092,Owen Conservation Park,1,4216143.02877808,9804.77252157075
5750,Elvehjem Park,424A,NEIGHBORHOOD,CityPark_Neighborhood,5.38999987,Elvehjem Park,1,234632.70135498,3113.16993504424
5751,Elmside Circle Park,222N,MINI,CityPark_Mini,1.05999994,Elmside Circle Park,1,46259.7998657227,762.790674011492
5752,Hughes Open Space,231P,MINI,CityPark_Mini,0.27000001,Hughes Park,1,11957.2694396973,447.728747951943
5753,Olive Jones Park (Randall Sch),149N,MINI,CityPark_Mini,1.33000004,Olive Jones Park (Randall School),1,57806.4992980957,961.765284736032
5754,Waltham Park,687N,NEIGHBORHOOD,CityPark_Neighborhood,5.76999998,Waltham Park,1,251123.969207764,2133.82810753664
5755,Breese Terrace Triangle,147T,OPEN SPACE,CityPark_OpenSpace,0.06,Breese Terrace Triangle,1,2703.58145141602,234.980141518147
5756,Morrison Park,116N,MINI,CityPark_Mini,0.66000003,Morrison Park,1,28667.6331481934,680.142298980547
5757,Ontario Park,348N,MINI,CityPark_Mini,2.08999991,Ontario Park,1,91178.8892822266,2231.10108136468
5758,Burr Jones Field,110N,NEIGHBORHOOD,CityPark_Neighborhood,4.67999983,Burr Jones Park,1,203681.813842773,2041.98409629021
5759,Lerdahl Park,470N,MINI,CityPark_Mini,2.27999997,Lerdahl Park,1,99276.6099853516,1275.21878961562
