Address,AddrCoor,Latitude,Longitude,injury,Date
1800 Block Helene Pkwy,"1800 Helene Pkwy, Madison, Wisconsin, 53711",43.03498170430142,-89.45290679569857,no,2015-01-15T19:46:00.000Z
3100 block Worthington Ave,"3100 Worthington Ave, Madison, Wisconsin, 53714",43.10264176288882,-89.33781148188187,yes,2015-01-18T06:00:00.000Z
13 Collins Ct.,"13 Collins Ct, Madison, Wisconsin, 53716",43.047413057683286,-89.30486692628456,yes,2015-01-19T13:44:00.000Z
1800 Fordem Ave,"1800 Fordem Ave, Madison, Wisconsin, 53704",43.09557538777377,-89.36347474799055,no,2015-01-23T16:00:00.000Z
2300 block Columbus Lane,"2300 Columbus Ln, Madison, Wisconsin, 53704",43.12905302632167,-89.3074729034467,no,2015-01-29T13:16:00.000Z
700 block S Gammon Rd,"700 N Gammon Rd, Madison, Wisconsin, 53717",43.076677458503696,-89.50249562016356,no,2015-01-31T02:11:00.000Z
4600 block Verona Rd.,"4600 Verona Rd, Madison, Wisconsin, 53711",43.035448275185814,-89.45542311950085,no,2015-01-31T10:42:00.000Z
400 block W. Gilman St.,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,no,2015-01-31T00:03:00.000Z
1100 block Moorland Rd.,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.033699418520534,-89.36669975517842,no,2015-01-31T22:30:00.000Z
5602 Tokay Blvd,"5602 Tokay Blvd, Madison, Wisconsin, 53719",43.053561511541204,-89.47545244463038,no,2015-02-06T21:34:00.000Z
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,no,2015-02-12T21:01:00.000Z
Trailsway,"Trailsway, Madison, Wisconsin, 53704",43.12611900000002,-89.36595401726723,no,2015-02-17T17:10:00.000Z
3521 Anderson St.,"3521 Anderson St, Madison, Wisconsin, 53704",43.12032751516325,-89.32721278990391,no,2015-02-20T13:00:00.000Z
4700 block Crescent Rd.,"4700 Crescent Rd, Madison, Wisconsin, 53711",43.02493654423376,-89.4586251697517,no,2015-02-27T01:23:00.000Z
66 West Towne Mall,"66 West Towne Mall, Madison, Wisconsin, 53719",43.05983205867437,-89.50642839537315,no,2015-02-28T17:37:00.000Z
6800 block Chelsea St.,"6800 Chelsea St, Madison, Wisconsin, 53719",43.01691195544582,-89.50000657616123,no,2015-02-28T22:11:00.000Z
7200 block Longmeadow Dr.,"7200 Longmeadow Rd, Madison, Wisconsin, 53717",43.084050307877426,-89.50706733301216,no,2015-03-01T16:04:00.000Z
800 block Brandie Rd.,"800 Brandie Rd, Madison, Wisconsin, 53714",43.108655483620005,-89.30733598138214,no,2015-03-03T12:39:00.000Z
1000 block Gammon Lane,"1000 Gammon Ln, Madison, Wisconsin, 53719",43.04387538256096,-89.50372483352903,yes,2015-03-06T03:10:00.000Z
4600 block Hayes Road,"4600 Hayes Rd, Madison, Wisconsin, 53704",43.142520968174566,-89.3055633241719,yes,2015-03-07T02:49:00.000Z
4333 Britta Dr,"4333 Britta Dr, Madison, Wisconsin, 53711",43.03458954674261,-89.45106202553522,no,2015-03-11T21:25:00.000Z
