Address,AddrCoor,Latitude,Longitude,injury,Date
5100 block Great Gray Dr.,"5100 Great Gray Dr, Madison, Wisconsin, 53718",43.036585295252685,-89.29473203816357,no,2018-08-19T21:47:00.000Z
1700 block Fordem Ave.,"1700 Fordem Ave, Madison, Wisconsin, 53704",43.094627225147725,-89.3636003630337,no,2018-01-01T01:13:00.000Z
4300 block Green Ave.,"4300 Green Ave, Madison, Wisconsin, 53704",43.14171060002911,-89.39775899050498,no,2018-01-02T18:46:00.000Z
702 Pflaum Rd.,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522,no,2018-01-02T11:55:00.000Z
4200 block School Rd,"4200 School Rd, Madison, Wisconsin, 53704",43.139587496817924,-89.38304758102012,no,2018-01-09T20:08:00.000Z
7000 block Carnwood Rd.,"7000 Carnwood Rd, Madison, Wisconsin, 53719",43.01983788923326,-89.50318497145734,no,2018-01-09T21:35:00.000Z
4500 block Onyx Lane,"4500 Onyx Ln, Madison, Wisconsin, 53714",43.092020583559886,-89.3050868328802,no,2018-01-17T23:51:00.000Z
S. Park St.,"S Park St, Madison, Wisconsin, 53715",43.04890207449485,-89.39412899999998,no,2018-01-18T02:34:00.000Z
726 N. Midvale Blvd.,"726 N Midvale Blvd, Madison, Wisconsin, 53705",43.07389941665263,-89.45130991087437,no,2018-01-17T15:04:00.000Z
300 block Junction Rd.,"300 Junction Rd, Madison, Wisconsin, 53717",43.066487888069666,-89.52454213210916,no,2018-01-18T21:52:00.000Z
6200 Schroeder Rd,"6200 Schroeder Rd, Madison, Wisconsin, 53711",43.046402968134295,-89.48670982966067,no,2018-01-21T18:10:00.000Z
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38292888129759,yes,2018-01-22T03:37:00.000Z
200 S Bassett St,"200 S Bassett St, Madison, Wisconsin, 53703",43.06852207688583,-89.38868736766054,no,2018-01-26T01:50:00.000Z
100 blk Knutson Dr.,"100 Knutson Dr, Madison, Wisconsin, 53704",43.141399047767756,-89.40032663818052,no,2018-01-26T23:05:00.000Z
2000 block of Danbury St.,"2000 Danbury St, Madison, Wisconsin, 53711",43.032730060161136,-89.44673562595234,no,2018-01-31T22:58:00.000Z
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38292888129759,no,2018-02-02T15:30:00.000Z
200 block Walter Street,"200 Walter St, Madison, Wisconsin, 53714",43.093359723249215,-89.32682066960274,no,2018-02-02T19:18:00.000Z
2500 block Coolidge Street,"2500 Coolidge St, Madison, Wisconsin, 53704",43.109304156079645,-89.35116069532219,yes,2018-02-03T00:13:00.000Z
1900 block South Park St.,"1900 S Park St, Madison, Wisconsin, 53713",43.04473213627446,-89.39417610430435,yes,2018-02-02T20:24:00.000Z
900 block Spaight St.,"900 Spaight St, Madison, Wisconsin, 53703",43.0782632469697,-89.36795373439881,no,2018-02-02T20:44:00.000Z
Craig Ave.,"Craig Ave, Madison, Wisconsin, 53705",43.07788142222025,-89.47299483601488,no,2018-02-02T02:45:00.000Z
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38292888129759,no,2018-02-03T03:00:00.000Z
5400 block Raymond Rd.,"5400 Raymond Rd, Madison, Wisconsin, 53711",43.03199669615304,-89.4723828466213,no,2018-02-07T21:19:00.000Z
600 block S. Gammon Rd.,"600 N Gammon Rd, Madison, Wisconsin, 53717",43.075160444433614,-89.5025433286245,no,2018-02-07T16:09:00.000Z
4800 block Hayes Rd.,"4800 Hayes Rd, Madison, Wisconsin, 53704",43.138320963248404,-89.30012918499081,no,2018-02-15T06:02:00.000Z
1600 block of Beld St.,"1600 Beld St, Madison, Wisconsin, 53715",43.049745598259975,-89.39277051802088,no,2018-02-15T13:06:00.000Z
2909 E. Washington Ave.,"2909 E Washington Ave, Madison, Wisconsin, 53704",43.10297479623781,-89.34459705228254,no,2018-02-19T15:30:00.000Z
107 State St.,"107 State St, Madison, Wisconsin, 53703",43.074683466818726,-89.38707202553522,no,2018-02-19T22:05:00.000Z
2100 block Packers Ave.,"2100 Packers Ave, Madison, Wisconsin, 53704",43.120996056808316,-89.35518109393965,no,2018-02-21T08:18:00.000Z
702 Pflaum Road,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522,no,2018-02-21T15:39:00.000Z
4217 West Beltline Hwy,"4217 W Beltline Hwy, Madison, Wisconsin, 53711",43.03439550678069,-89.44478991618098,yes,2018-02-21T19:49:00.000Z
6702 Raymond Road,"6702 Raymond Rd, Madison, Wisconsin, 53719",43.03187748268775,-89.49746186081137,no,2018-02-21T18:27:00.000Z
4800 block Hayes Rd.,"4800 Hayes Rd, Madison, Wisconsin, 53704",43.138320963248404,-89.30012918499081,no,2018-02-24T00:50:00.000Z
3620 Marsh Rd,"3620 Marsh Rd, Madison, Wisconsin, 53718",43.045904870938905,-89.28674708598247,no,2018-02-28T10:56:00.000Z
2300 block Cypress Way,"2300 Cypress Way, Madison, Wisconsin, 53713",43.04074730969019,-89.39735550154903,no,2018-03-01T02:21:00.000Z
Ellis Potter Court,"Ellis Potter Ct, Madison, Wisconsin, 53711",43.046982,-89.48664000000001,no,2018-03-01T14:25:00.000Z
1400 Block of Northport Dr.,"1400 Northport Dr, Madison, Wisconsin, 53704",43.134922843679725,-89.37305137670134,no,2018-03-04T15:49:00.000Z
3200 block Progress Rd.,"3200 Progress Rd, Madison, Wisconsin, 53716",43.05258956571393,-89.3042725843955,no,2018-03-04T15:57:00.000Z
6100 block Strathmore Lane,"6100 Strathmore Ln, Madison, Wisconsin, 53711",43.045845400405895,-89.48604790040588,no,2018-03-05T12:15:00.000Z
5606 Russett Rd.,"5606 Russett Rd, Madison, Wisconsin, 53711",43.03301045946022,-89.47536019747245,no,2018-03-06T08:30:00.000Z
210 East Olin Ave,"210 E Olin Ave, Madison, Wisconsin, 53713",43.05221272499824,-89.38058030388386,no,2018-03-07T11:24:00.000Z
1100 block of Moorland Road,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.033699418520534,-89.36669975517842,no,2018-03-05T03:57:00.000Z
1306 Williamson St,"1306 Williamson St, Madison, Wisconsin, 53703",43.0846374646257,-89.362418132408,no,2018-03-10T02:39:00.000Z
2100 block Taft St.,"2100 Taft St, Madison, Wisconsin, 53713",43.043028476090974,-89.39312056197457,no,2018-03-12T21:22:00.000Z
2602 Post Rd.,"2602 Post Rd, Madison, Wisconsin, 53713",43.026578509953744,-89.42133006370815,no,2018-03-15T08:02:00.000Z
1100 block Morraine View Dr.,"1100 Morraine View Dr, Madison, Wisconsin, 53719",43.04254768195646,-89.50635445718746,no,2018-03-19T22:04:00.000Z
115 W. Doty St.,"115 W Doty St, Madison, Wisconsin, 53703",43.07195282096497,-89.38391388646215,no,2018-03-20T05:32:00.000Z
641 West Main Street,"641 W Main St, Madison, Wisconsin, 53703",43.06673821784315,-89.39304414692161,no,2018-03-20T21:35:00.000Z
5800 block Dorsett Dr.,"5800 Dorsett Dr, Madison, Wisconsin, 53711",43.038058989810736,-89.48005158749812,no,2018-03-21T15:54:00.000Z
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,no,2018-03-21T21:21:00.000Z
2200 block Brentwood Parkway,"2200 Brentwood Pkwy, Madison, Wisconsin, 53704",43.12255971128867,-89.36736486122611,no,2018-03-23T00:52:00.000Z
Mid Town Rd.,"Mid Town Rd, Madison, Wisconsin, 53719",43.03145700000002,-89.52093942132191,no,2018-03-25T11:27:00.000Z
Allis Ave.,"Allis Ave, Madison, Wisconsin, 53716",43.07123449563962,-89.31307644839802,no,2018-03-25T22:25:00.000Z
4300 Lumley Rd,"4300 Lumley Rd, Madison, Wisconsin, 53711",43.03371300998286,-89.44676775648986,no,2018-03-27T16:13:00.000Z
3505 E. Washington Ave.,"3505 E Washington Ave, Madison, Wisconsin, 53704",43.11476403967348,-89.32774307380707,no,2018-03-28T22:05:00.000Z
King St. at E. Main St.,"King St & E Main St, Madison, Wisconsin, 53703",43.074666,-89.3821095,yes,2018-04-01T01:42:00.000Z
Hayes Rd.,"Hayes Rd, Madison, Wisconsin, 53704",43.140956838550586,-89.30037389236703,no,2018-03-31T01:51:00.000Z
Ardsley Circle,"Ardsley Cir, Madison, Wisconsin, 53713",43.032415500000006,-89.4224475,no,2018-04-03T09:06:00.000Z
2800 Block of Coolidge St,"2800 Coolidge St, Madison, Wisconsin, 53704",43.10926848159551,-89.3452705184045,no,2018-04-03T22:22:00.000Z
800 block of Vernon Ave,"800 Vernon Ave, Madison, Wisconsin, 53714",43.08632079977397,-89.30573507255104,no,2018-04-06T01:45:00.000Z
School Rd.,"School Rd, Madison, Wisconsin, 53704",43.14088379721727,-89.38296293499843,no,2018-04-04T23:07:00.000Z
Graceland Ave.,"Graceland Ave, Madison, Wisconsin, 53704",43.116672137534714,-89.32853234512815,no,2018-04-06T08:36:00.000Z
900 blk Blaine Dr,"900 Blaine Dr, Madison, Wisconsin, 53704",43.13521496801997,-89.38311944531773,no,2018-04-12T08:11:00.000Z
201 S. Gammon Rd.,"201 S Gammon Rd, Madison, Wisconsin, 53717",43.06449880821169,-89.5025428772305,no,2018-04-13T08:38:00.000Z
W. Beltline Highway,"W Beltline Hwy, Madison, Wisconsin, 53719",43.046425279012944,-89.47365493699266,no,2018-04-17T12:00:00.000Z
900 block of S. Park St.,"900 S Park St, Madison, Wisconsin, 53715",43.057920668042094,-89.39979635778158,yes,2018-04-21T21:39:00.000Z
E. Dayton St.,"E Dayton St, Madison, Wisconsin, 53704",43.102078607341134,-89.34992502112861,no,2018-04-22T01:15:00.000Z
4800 block Hayes Rd.,"4800 Hayes Rd, Madison, Wisconsin, 53704",43.138320963248404,-89.30012918499081,no,2018-04-22T12:30:00.000Z
4222 E. Washington Ave.,"4222 E Washington Ave, Madison, Wisconsin, 53704",43.12649150848277,-89.31099503416222,no,2018-04-23T11:17:00.000Z
McClellan Drive/Kilpatrick Lane,"McClellan Dr & Kilpatrick Ln, Madison, Wisconsin, 53718",43.08544799999999,-89.270829,no,2018-04-27T02:21:00.000Z
100 block State St.,"100 State St, Madison, Wisconsin, 53703",43.07473349321933,-89.387019,no,2018-04-27T21:43:00.000Z
W. Johnson St.,"W Johnson St, Madison, Wisconsin, 53715",43.072055505612695,-89.39825551075594,no,2018-04-29T19:00:00.000Z
700 block Fairmont Ave,"700 Fairmont Ave, Madison, Wisconsin, 53714",43.10783509960885,-89.32694648573082,no,2018-05-01T08:57:00.000Z
4600 block Atticus Way,"4600 Atticus Way, Madison, Wisconsin, 53711",43.033729007950704,-89.45517080693372,no,2018-05-01T18:11:00.000Z
2301 Commercial Ave.,"2301 Commercial Ave, Madison, Wisconsin, 53704",43.1067704995673,-89.35334895712386,no,2018-05-02T20:15:00.000Z
Todd Dr.,"Todd Dr, Madison, Wisconsin, 53713",43.03212875731403,-89.42299144000273,no,2018-05-03T00:35:00.000Z
4200 block Lumley Rd,"4200 Lumley Rd, Madison, Wisconsin, 53711",43.03368713412193,-89.44396762200493,no,2018-05-06T18:30:00.000Z
300 block Troy Dr.,"300 Troy Dr, Madison, Wisconsin, 53704",43.1338734060748,-89.39507990834194,no,2018-05-04T23:17:00.000Z
2900 block of Irvington Way,"2900 Irvington Way, Madison, Wisconsin, 53713",43.025816290425055,-89.42628539390175,no,2018-05-08T16:03:00.000Z
1818 Portage Rd.,"1818 Portage Rd, Madison, Wisconsin, 53704",43.126426959894765,-89.31548715782577,no,2018-05-08T19:15:00.000Z
4556 Monona Dr.,"4556 Monona Dr, Madison, Wisconsin, 53716",43.07049900000001,-89.32605387852762,no,2018-05-09T13:52:00.000Z
4700 block Verona Rd.,"4700 Verona Rd, Madison, Wisconsin, 53711",43.03459406756085,-89.45758065044514,no,2018-05-09T19:30:00.000Z
Sunnyside Crescent,"Sunnyside Cres, Madison, Wisconsin, 53704",43.12778400000001,-89.31304824671464,no,2018-05-10T17:35:00.000Z
7302 Mineral Point Rd.,"7302 Mineral Point Rd, Madison, Wisconsin, 53717",43.060731498845215,-89.50938169375021,no,2018-05-11T13:44:00.000Z
Chicago Ave.,"Chicago Ave, Madison, Wisconsin, 53714",43.10157992073516,-89.33216885453614,yes,2018-05-11T17:43:00.000Z
300 block Wisconsin Ave.,"300 Wisconsin Ave, Madison, Wisconsin, 53703",43.07683245592978,-89.38712339047493,no,2018-05-14T03:43:00.000Z
500 block of Northport Drive,"500 Northport Dr, Madison, Wisconsin, 53704",43.14078500988533,-89.39029684561315,no,2018-05-15T20:41:00.000Z
Bettys Lane and Frisch Rd,"Bettys Ln & Frisch Rd, Madison, Wisconsin, 53711",43.03809000000001,-89.492922,no,2018-05-15T22:35:00.000Z
1200 block McKenna Blvd.,"1200 McKenna Blvd, Madison, Wisconsin, 53719",43.040236575746526,-89.50495918055897,no,2018-05-15T21:55:00.000Z
702 Pflaum Rd,"702 Pflaum Rd, Madison, Wisconsin, 53716",43.06208650894319,-89.31984202553522,no,2018-05-17T12:54:00.000Z
6300 block Hammersley Rd.,"6300 Hammersley Rd, Madison, Wisconsin, 53711",43.0391745437449,-89.4898836617653,no,2018-05-17T22:57:00.000Z
1907 S. Park Street,"1907 S Park St, Madison, Wisconsin, 53713",43.04516890143381,-89.39394120430143,yes,2018-05-20T15:55:00.000Z
Tokay Blvd/Charles Lane,"Tokay Blvd & Charles Ln, Madison, Wisconsin, 53711",43.05358799999999,-89.454861,no,2018-05-25T00:37:00.000Z
600 block S. Gammon Rd.,"600 N Gammon Rd, Madison, Wisconsin, 53717",43.075160444433614,-89.5025433286245,no,2018-05-27T14:39:00.000Z
2601 Shopko Dr.,"2601 Shopko Dr, Madison, Wisconsin, 53704",43.11136793672453,-89.3471466184703,no,2018-05-27T02:42:00.000Z
1900 block South Park St.,"1900 S Park St, Madison, Wisconsin, 53713",43.04473213627446,-89.39417610430435,no,2018-05-27T14:54:00.000Z
3102 Worthington Ave.,"3102 Worthington Ave, Madison, Wisconsin, 53714",43.10255348384158,-89.33704064348781,no,2018-05-25T16:48:00.000Z
5100 block of Great Gray Dr,"5100 Great Gray Dr, Madison, Wisconsin, 53718",43.036585295252685,-89.29473203816357,no,2018-06-02T22:57:00.000Z
John Nolen Dr.,"John Nolen Dr, Madison, Wisconsin, 53715",43.05826072581423,-89.3840868147109,yes,2018-06-02T15:13:00.000Z
4100 Block of Melody Ln,"4100 Melody Ln, Madison, Wisconsin, 53704",43.13073742041916,-89.31347579059343,no,2018-06-05T03:21:00.000Z
S. Gammon Rd.,"S Gammon Rd, Madison, Wisconsin, 53719",43.05836449933653,-89.5029286419188,no,2018-06-04T13:17:00.000Z
1400 block of Emil Street,"1400 Emil St, Madison, Wisconsin, 53713",43.03672454694761,-89.407082681824,no,2018-06-05T16:23:00.000Z
1600 Troy Dr.,"1600 Troy Dr, Madison, Wisconsin, 53704",43.13367529731573,-89.36818780586826,no,2018-06-12T03:18:00.000Z
Rieder Rd / Portage Rd,"Rieder Rd & Portage Rd, Madison, Wisconsin, 53704",43.13547900000001,-89.31565350000002,no,2018-06-13T17:41:00.000Z
4402 E. Buckeye Rd.,"4402 E Buckeye Rd, Madison, Wisconsin, 53716",43.07326039497357,-89.30825824548448,yes,2018-06-13T23:45:00.000Z
4300 block Wakefield Street,"4300 Wakefield St, Madison, Wisconsin, 53711",43.05275804311263,-89.44890876564817,yes,2018-06-16T12:10:00.000Z
3800 block East Washington Avenue,"3800 E Washington Ave, Madison, Wisconsin, 53704",43.11904263270553,-89.32152886546619,no,2018-06-18T02:45:00.000Z
6700 block Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,no,2018-06-19T18:25:00.000Z
5800 block Raymond Road,"5800 Raymond Rd, Madison, Wisconsin, 53711",43.032039382767394,-89.47987649999997,yes,2018-06-21T03:34:00.000Z
1865 Northport Drive,"1865 Northport Dr, Madison, Wisconsin, 53704",43.129244536543894,-89.35992895289513,no,2018-06-21T22:10:00.000Z
E. Gorham St.,"E Gorham St, Madison, Wisconsin, 53703",43.083869560626404,-89.37880473793919,no,2018-07-05T20:00:00.000Z
415 N. Lake St.,"415 N Lake St, Madison, Wisconsin, 53715",43.07432960724813,-89.39734294070658,no,2018-07-08T01:33:00.000Z
6200 block University Ave.,"6200 University Ave, Middleton, Wisconsin, 53562",43.09019704059415,-89.48653377918542,no,2018-07-09T08:09:00.000Z
