Address,AddrCoor,Latitude,Longitude,injury,Date
5700 Blk of Russett Rd,"5700 Russett Rd, Madison, Wisconsin, 53711",43.033071830052755,-89.4770388931459,no,2016-01-01T06:30:00.000Z
3700 Blk of E. Karstens Dr,"3700 E Karstens Dr, Madison, Wisconsin, 53704",43.13381729569856,-89.38598729569857,yes,2016-01-02T09:20:00.000Z
5800 Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,no,2016-01-01T06:34:00.000Z
300 Kent Ln,"300 Kent Ln, Madison, Wisconsin, 53713",43.03349939890517,-89.38058868339407,no,2016-01-03T20:40:00.000Z
E. Washington Ave.,"E Washington Ave, Madison, Wisconsin, 53703",43.09012075391277,-89.36216852956566,no,2016-01-03T19:11:00.000Z
100 block W. Washington Ave.,"100 E Washington Ave, Madison, Wisconsin, 53703",43.075536181331074,-89.38302468854619,no,2016-01-02T17:54:00.000Z
6700 Blk of Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,yes,2016-01-08T00:01:00.000Z
1200 block MacArthur Rd.,"1200 MacArthur Rd, Madison, Wisconsin, 53714",43.11240824134509,-89.31931313992426,no,2016-01-12T13:42:00.000Z
Pinchot Ave.,"Pinchot Ave, Madison, Wisconsin, 53716",43.08000300000001,-89.31473525635475,no,2016-01-19T23:32:00.000Z
Monona Dr.,"Monona Dr, Madison, Wisconsin, 53714",43.08565873647869,-89.3258490314154,no,2016-01-20T21:54:00.000Z
3800 block Nakoma Rd.,"3800 Nakoma Rd, Madison, Wisconsin, 53711",43.04801152406494,-89.43925966053148,no,2016-01-20T12:40:00.000Z
1759 Thierer Rd.,"1759 Thierer Rd, Madison, Wisconsin, 53704",43.12308023264429,-89.31351161148996,no,2016-01-21T12:39:00.000Z
3500 block of Ridgeway Ave,"3500 Ridgeway Ave, Madison, Wisconsin, 53704",43.11576996737872,-89.32838608442744,no,2016-01-24T10:20:00.000Z
4301 Lien Rd.,"4301 Lien Rd, Madison, Wisconsin, 53704",43.12097850331915,-89.30671734387447,no,2016-01-23T18:22:00.000Z
2453 East Springs Dr.,"2453 E Springs Dr, Madison, Wisconsin, 53704",43.13115475135867,-89.29668812450191,no,2016-01-23T17:46:00.000Z
600 block Vera Ct.,"600 Vera Ct, Madison, Wisconsin, 53704",43.13627551652986,-89.38596665654612,no,2016-01-25T17:19:00.000Z
600 block E. Johnson St.,"600 W Johnson St, Madison, Wisconsin, 53715",43.07198350547433,-89.39878166115469,no,2016-02-01T23:49:00.000Z
2200 block Carling Dr.,"2200 Carling Dr, Madison, Wisconsin, 53711",43.02979189209939,-89.46123039139873,no,2016-02-02T21:37:00.000Z
1800 block Helene Parkway,"1800 Helene Pkwy, Madison, Wisconsin, 53711",43.03498170430142,-89.45290679569857,no,2016-02-03T13:30:00.000Z
National Ave.,"National Ave, Madison, Wisconsin, 53716",43.07526900000001,-89.28992249999997,yes,2016-02-03T13:00:00.000Z
1754 Thierer Rd.,"1754 Thierer Rd, Madison, Wisconsin, 53704",43.122772782936266,-89.31320985071245,no,2016-02-06T03:09:00.000Z
4600 block Verona Rd.,"4600 Verona Rd, Madison, Wisconsin, 53711",43.035448275185814,-89.45542311950085,no,2016-02-05T19:56:00.000Z
Steensland Dr.,"Steensland Dr, Madison, Wisconsin, 53704",43.115094,-89.36487904935318,no,2016-02-11T14:30:00.000Z
6718 Park Ridge Dr,"6718 Park Ridge Dr, Madison, Wisconsin, 53719",43.043087570849806,-89.50110084446938,no,2016-02-14T02:24:00.000Z
East Towne Mall,East Towne Mall,43.12544000000002,-89.30646999999998,no,2016-02-13T15:40:00.000Z
6500 block Raymond Rd.,"6500 Raymond Rd, Madison, Wisconsin, 53711",43.031967382675454,-89.49367538267543,no,2016-02-23T08:14:00.000Z
2300 block Hoard St.,"2300 Hoard St, Madison, Wisconsin, 53704",43.10072670739335,-89.3572563106419,no,2016-02-18T17:26:00.000Z
Darbo Dr.,"Darbo Dr, Madison, Wisconsin, 53704",43.10354250000002,-89.34134625,yes,2016-02-20T15:41:00.000Z
500 block W. Mifflin St.,"500 E Mifflin St, Madison, Wisconsin, 53703",43.07883892665861,-89.38070439624002,no,2016-02-21T01:00:00.000Z
2901 Dryden Dr.,"2901 Dryden Dr, Madison, Wisconsin, 53704",43.12849878322473,-89.35929107129691,no,2016-03-01T10:45:00.000Z
4300 Blk Bridge Rd,"Bridge Rd, Madison, Wisconsin, 53716",43.053190317036496,-89.33294659083845,no,2016-03-05T04:40:00.000Z
439 Grand Canyon Drive,"439 Grand Canyon Dr, Madison, Wisconsin, 53719",43.058420800998334,-89.49603045123816,yes,2016-03-06T01:20:00.000Z
