Address,AddrCoor,Latitude,Longitude,injury,Date
800 Brandie Road,"800 Brandie Rd, Madison, Wisconsin, 53714",43.108655483620005,-89.30733598138214,no,2009-01-05T21:29:00.000Z
2400 block Allied Drive,"2400 Allied Dr, Madison, Wisconsin, 53711",43.02674642397273,-89.45983585683668,no,2009-01-01T00:05:00.000Z
4710 East Towne Blvd. (Applebee's Neighborhod Grill & Bar),Applebee's,43.12919000000005,-89.30436999999996,no,2009-01-01T15:43:00.000Z
1745 Parkside Drive (Old Country Buffet),"1745 Parkside Dr, Madison, Wisconsin, 53704",43.122445228432035,-89.31557565410631,no,2009-01-16T16:43:00.000Z
1100 Bl Moorland Rd,"1100 Moorland Rd, Madison, Wisconsin, 53713",43.033699418520534,-89.36669975517842,no,2009-01-28T22:33:00.000Z
1900 block E. Mifflin St,"1900 E Mifflin St, Madison, Wisconsin, 53704",43.09308544583464,-89.36043922511475,no,2009-01-29T00:03:00.000Z
221 Meadowlark Drive (Kennedy Elementary School),John F Kennedy Elementary School,43.09445007718266,-89.29818999596151,no,2009-01-31T16:49:00.000Z
2400 Bl Commercial Ave,"2400 Commercial Ave, Madison, Wisconsin, 53704",43.10690147856068,-89.35241174999999,no,2009-02-06T15:57:00.000Z
10 East Mifflin Street,"10 E Mifflin St, Madison, Wisconsin, 53703",43.07572638671585,-89.38503678950669,no,2009-02-18T12:22:00.000Z
525 W Johnson,"525 W Johnson St, Madison, Wisconsin, 53703",43.07199848398675,-89.3942595,no,2009-02-19T17:23:00.000Z
6600 block Schroeder Rd.,"6600 Schroeder Rd, Madison, Wisconsin, 53711",43.04633979363852,-89.49662799974146,no,2009-02-21T04:10:00.000Z
West Towne Mall parking lot,"West Towne Mall, Madison, Wisconsin, 53719",43.059888,-89.5051034350467,no,2009-02-22T11:08:00.000Z
4202 East Towne Blvd. (Baymont Inn),"4202 East Towne Blvd, Madison, Wisconsin, 53704",43.12427346188439,-89.31045915909704,no,2009-03-02T23:15:00.000Z
