Address,AddrCoor,latitude,Longitude
2000 block of Danbury St.,"2000 Danbury St, Madison, Wisconsin, 53711",43.032730239703916,-89.44673591705595
800 block East Washington Ave.,"800 E Washington Ave, Madison, Wisconsin, 53703",43.08137303209133,-89.37493602292236
1500 block Williamson St.,"1500 Williamson St, Madison, Wisconsin, 53703",43.08734500833856,-89.35909310286205
W. Beltline Highway,"W Beltline Hwy, Madison, Wisconsin, 53719",43.04643516224113,-89.47368100226728
Schroeder Rd.,"Schroeder Rd, Madison, Wisconsin, 53711",43.04630570310627,-89.4891900519889
2190 Pennsylvania Ave.,"2190 Pennsylvania Ave, Madison, Wisconsin, 53704",43.099983533729535,-89.35962531118321
John Nolen Dr.,"John Nolen Dr, Madison, Wisconsin, 53715",43.05825237187136,-89.38409284862941
302 N. Midvale Blvd.,"302 N Midvale Blvd, Madison, Wisconsin, 53705",43.06991352844943,-89.45129759261891
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
200 block Walter Street,"200 Walter St, Madison, Wisconsin, 53714",43.09335929298368,-89.32682486795183
2500 block Coolidge Street,"2500 Coolidge St, Madison, Wisconsin, 53704",43.109303946609955,-89.35116090653021
1300blk Loreen Dr,"1300 Loreen Dr, Madison, Wisconsin, 53711",43.039069796271306,-89.48744195016937
4601 Verona Road,"4601 Verona Rd, Madison, Wisconsin, 53711",43.034964916440785,-89.45449950372225
Camus Lane,"Camus Ln, Madison, Wisconsin, 53705",43.08464377881267,-89.47572986771499
1900 block South Park St.,"1900 S Park St, Madison, Wisconsin, 53713",43.044723136274456,-89.39418060430434
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
3401 Maple Grove Dr.,"3401 Maple Grove Dr, Madison, Wisconsin, 53719",43.01127604524208,-89.49892244503535
900 block Spaight St.,"900 Spaight St, Madison, Wisconsin, 53703",43.07826322026963,-89.36795325100998
Craig Ave.,"Craig Ave, Madison, Wisconsin, 53705",43.07788342219016,-89.47299799845969
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
University Ave.,"University Ave, Madison, Wisconsin, 53562",43.08994794459158,-89.48628989033008
211 S. Carroll St.,"211 S Carroll St, Madison, Wisconsin, 53703",43.07207946658759,-89.38293338129759
700 block of West Washington Ave,"700 W Washington Ave, Madison, Wisconsin, 53715",43.0670080614419,-89.39538502472905
2145 Regent St.,"2145 Regent St, Madison, Wisconsin, 53726",43.06789854674261,-89.42356192339432
1625 N. Stoughton Rd.,"1625 N Stoughton Rd, Madison, Wisconsin, 53704",43.120611146546246,-89.32478450620376
600 Williamson St.,"600 Williamson St, Madison, Wisconsin, 53703",43.076434030844005,-89.3743871579432
5400 block Raymond Rd.,"5400 Raymond Rd, Madison, Wisconsin, 53711",43.03199648511158,-89.4723829700782
