Address,AddrCoor,Latitude,Longitude,injury,Date
10 block Mount Vernon Ct,"10 Mount Vernon Ct, Madison, Wisconsin, 53719",43.04269327477061,-89.50205675716991,no,2017-01-01T02:40:00.000Z
900 Harrington Dr,"900 Harrington Dr, Madison, Wisconsin, 53718",43.08661801644802,-89.2577437411933,yes,2017-01-01T19:13:00.000Z
500 W Johnson,"500 W Johnson St, Madison, Wisconsin, 53715",43.07203608700185,-89.40216732903386,no,2017-01-02T19:52:00.000Z
East Towne Mall,East Towne Mall,43.12544000000002,-89.30646999999998,no,2017-01-02T19:15:00.000Z
2300 Upham St.(block),"2300 Upham St, Madison, Wisconsin, 53704",43.10008752895054,-89.35634830481482,no,2017-01-08T05:07:00.000Z
6600 block Radford Dr,"6600 Radford Dr, Madison, Wisconsin, 53718",43.09760342160817,-89.26578151381563,no,2017-01-09T02:37:00.000Z
4500 block Bonner Lane,"4500 Bonner Ln, Madison, Wisconsin, 53704",43.14220725426954,-89.38656364326168,yes,2017-01-08T19:43:00.000Z
2222 E. Washington Ave.,"2222 E Washington Ave, Madison, Wisconsin, 53704",43.09674201840785,-89.35346780154566,no,2017-01-13T08:46:00.000Z
6700 block Schroeder Rd.,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,no,2017-01-13T14:00:00.000Z
2800 block N. Sherman Ave.,"2800 N Sherman Ave, Madison, Wisconsin, 53704",43.12632348854879,-89.36364686520807,no,2017-01-14T19:40:00.000Z
900 block Blaine Dr.,"900 Blaine Dr, Madison, Wisconsin, 53704",43.13521496801997,-89.38311944531773,no,2017-01-13T22:00:00.000Z
2300 block Brentwood Parkway,"2300 Brentwood Pkwy, Madison, Wisconsin, 53704",43.123439969450786,-89.36734296425689,no,2017-01-12T05:30:00.000Z
West Towne Mall,West Towne Mall,43.060160000000046,-89.50782999999996,no,2017-01-17T20:24:00.000Z
2100 block Pike Dr,"2100 Pike Dr, Madison, Wisconsin, 53713",43.02950454731968,-89.41691935967388,yes,2017-01-18T23:46:00.000Z
3500 block Milwaukee St.,"3500 Milwaukee St, Madison, Wisconsin, 53714",43.09827946750924,-89.32763053249077,yes,2017-01-18T21:30:00.000Z
400 Block W. Gilman St,"400 W Gilman St, Madison, Wisconsin, 53703",43.074827419289825,-89.39347833077154,no,2017-01-22T02:53:00.000Z
1000 East Johnson Street,"1000 E Johnson St, Madison, Wisconsin, 53703",43.08585750458764,-89.3742765446938,no,2017-01-23T02:00:00.000Z
7035 Littlemore Dr.,"7035 Littlemore Dr, Madison, Wisconsin, 53718",43.098171422260066,-89.25412727274389,no,2017-01-22T12:42:00.000Z
3100 block Ridgeway Ave.,"3100 Ridgeway Ave, Madison, Wisconsin, 53704",43.10907892460732,-89.3379140520962,no,2017-01-26T19:45:00.000Z
Northport Dr.,"Northport Dr, Madison, Wisconsin, 53704",43.15234564234142,-89.40347913825167,no,2017-01-27T10:06:00.000Z
2201 S Park St,"2201 S Park St, Madison, Wisconsin, 53713",43.041474,-89.39391385688755,yes,2017-01-29T19:59:00.000Z
6700 Schroeder Road,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,no,2017-01-29T17:32:00.000Z
Sherman Terrace,"Sherman Terrace, Madison, Wisconsin",43.096730000000036,-89.36774999999994,yes,2017-01-28T22:51:00.000Z
N. Fish Hatchery Rd.,"Fish Hatchery Rd, Madison, Wisconsin, 53715",43.053228043119795,-89.39903369363628,no,2017-01-29T20:07:00.000Z
1900 block E. Washington Ave.,"1900 E Washington Ave, Madison, Wisconsin, 53704",43.09242417182166,-89.35925365739494,no,2017-02-01T05:54:00.000Z
2164 W Beltline Hwy,"2164 W Beltline Hwy, Madison, Wisconsin, 53713",43.035488488313646,-89.41578907660568,yes,2017-02-02T19:30:00.000Z
6200 block Jacobs Way,"6200 Jacobs Way, Madison, Wisconsin, 53711",43.03676768691877,-89.48871280802034,no,2017-02-04T12:11:00.000Z
2100 block Leland Dr.,"2100 Leland Dr, Madison, Wisconsin, 53711",43.03078011063966,-89.47980918382838,no,2017-02-03T15:12:00.000Z
2800 block Ashford Ln,"2800 Ashford Ln, Madison, Wisconsin, 53713",43.03377859779032,-89.42488380713093,no,2017-02-08T02:40:00.000Z
2400 block W. Broadway,"2400 W Broadway, Madison, Wisconsin, 53713",43.046141907871075,-89.35215122274788,no,2017-02-09T23:00:00.000Z
2200 Cypress Way,"2200 Cypress Way, Madison, Wisconsin, 53713",43.04165543028294,-89.39730032198726,no,2017-02-10T20:30:00.000Z
6700 Jacobs Way,"6700 Jacobs Way, Madison, Wisconsin, 53711",43.03813239055027,-89.49685711090038,no,2017-02-11T03:45:00.000Z
3100 block Churchill Dr,"3100 Churchill Dr, Madison, Wisconsin, 53713",43.029901891592864,-89.4222778731584,no,2017-02-13T23:09:00.000Z
Parkwood Lane,"Parkwood Ln, Madison, Wisconsin, 53714",43.10483138549293,-89.31122926017773,no,2017-02-15T03:55:00.000Z
6700 Block Jacobs Way,"6700 Jacobs Way, Madison, Wisconsin, 53711",43.03813239055027,-89.49685711090038,no,2017-02-22T19:32:00.000Z
N. Lake St.,"N Lake St, Madison, Wisconsin, 53715",43.07287481088817,-89.3974377582288,no,2017-02-22T13:30:00.000Z
3000 block Darbo Dr.,"3000 Darbo Dr, Madison, Wisconsin, 53714",43.1035970669437,-89.34085016418408,no,2017-02-28T17:15:00.000Z
